filename,width,height,class,xmin,ymin,xmax,ymax
licence.25366216-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,175,134,218,163
licence.2537992e-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,257,183,320,215
licence.253836e0-0b2e-11ec-9b7c-acde48001122.jpg,400,299,licence,143,169,212,209
licence.2534913e-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,178,137,217,159
licence.253a1ffa-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,38,133,213,232
licence.2536a71c-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,83,54,327,157
licence.25395782-0b2e-11ec-9b7c-acde48001122.jpg,400,268,licence,189,145,243,171
licence.25387114-0b2e-11ec-9b7c-acde48001122.jpg,400,267,licence,87,183,139,210
licence.25368fc0-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,140,125,263,162
licence.25364ec0-0b2e-11ec-9b7c-acde48001122.jpg,400,240,licence,146,195,222,231
licence.25359ba6-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,165,199,243,220
licence.2539409e-0b2e-11ec-9b7c-acde48001122.jpg,386,400,licence,171,192,242,230
licence.253438ba-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,259,182,318,214
licence.2531e15a-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,5,139,51,165
licence.25362f44-0b2e-11ec-9b7c-acde48001122.jpg,400,400,licence,226,174,273,195
licence.25367800-0b2e-11ec-9b7c-acde48001122.jpg,400,245,licence,271,172,400,216
licence.253381c2-0b2e-11ec-9b7c-acde48001122.jpg,400,299,licence,138,170,215,211
licence.2539e620-0b2e-11ec-9b7c-acde48001122.jpg,400,247,licence,155,165,242,191
licence.2538d2d0-0b2e-11ec-9b7c-acde48001122.jpg,400,301,licence,191,162,258,192
licence.2535de18-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,140,126,261,160
licence.253a347c-0b2e-11ec-9b7c-acde48001122.jpg,400,266,licence,50,197,93,223
licence.253936d0-0b2e-11ec-9b7c-acde48001122.jpg,400,305,licence,115,198,286,243
licence.2532225a-0b2e-11ec-9b7c-acde48001122.jpg,443,332,licence,24,36,419,136
licence.25398860-0b2e-11ec-9b7c-acde48001122.jpg,400,267,licence,320,144,368,170
licence.2535bbe0-0b2e-11ec-9b7c-acde48001122.jpg,507,388,licence,310,286,409,313
licence.25324abe-0b2e-11ec-9b7c-acde48001122.jpg,590,350,licence,96,53,541,265
licence.25320720-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,220,176,329,219
licence.2539b984-0b2e-11ec-9b7c-acde48001122.jpg,400,299,licence,142,168,215,208
licence.2538ea72-0b2e-11ec-9b7c-acde48001122.jpg,500,375,licence,108,104,381,245
